Sat.	GM (km3/sec2)	Mean radius (km)	Mean density (g/cm3)	Magnitude V0 or R	Geometric Albedo
Moon	4902.801±0.001	[1]	1737.5±0.1	[2]	3.344±0.005	-12.74	[3]	0.12	[3]
Phobos	0.0007112±0.0000010	[4]	11.1±0.15	[5]	1.872±0.076	11.4±0.2	[6]	0.071±0.012	[6]
Deimos	0.0000985±0.0000024	[4]	6.2±0.18	[5]	1.471±0.166	12.45±0.05	[6]	0.068±0.007	[7]
Io	5959.916±0.012	[8]	1821.6±0.5	[9]	3.528±0.006	5.02±0.03	[14]	0.63±0.02	[16]
Europa	3202.739±0.009	[8]	1560.8±0.5	[10]	3.013±0.005	5.29±0.02	[14]	0.67±0.03	[17]
Ganymede	9887.834±0.017	[8]	2631.2±1.7	[11]	1.942±0.005	4.61±0.03	[14]	0.43±0.02	[18]
Callisto	7179.289±0.013	[8]	2410.3±1.5	[12]	1.834±0.004	5.65±0.10	[14]	0.17±0.02	[18]
Amalthea	0.138±0.030	[8]	83.45±2.4	[13]	0.849±0.199	14.1±0.2	[15]	0.090±0.005	[19]
Himalia	0.45	 	85	[20]	2.6	14.2R	[26]	0.04	 
Elara	0.058	 	43	[20]	2.6	16.0R	[26]	0.04	 
Pasiphae	0.020	 	30	[20]	2.6	16.8R	[26]	0.04	 
Sinope	0.0050	 	19	[20]	2.6	18.2R	[26]	0.04	 
Lysithea	0.0042	 	18	[20]	2.6	18.1R	[26]	0.04	 
Carme	0.0088	 	23	[20]	2.6	18.1R	[26]	0.04	 
Ananke	0.0020	 	14	[20]	2.6	19.1R	[26]	0.04	 
Leda	0.00073	 	10	[20]	2.6	19.2R	[26]	0.04	 
Thebe	0.10	 	49.3±2.0	[21]	3.0	16.0	[22]	0.047±0.003	[19]
Adrastea	0.0005	 	8.2±2.0	[21]	3.0	18.7	[22]	0.1±0.045	[21]
Metis	0.008	 	21.5±2.0	[21]	3.0	17.5	[22]	0.061±0.003	[19]
Callirrhoe	0.000058	 	4.3	[25]	2.6	20.8R	[26]	0.04	[25]
Themisto	0.000046	 	4.0	[25]	2.6	21.0R	[26]	0.04	[25]
Megaclite	0.000014	 	2.7	[25]	2.6	21.7R	[26]	0.04	[25]
Taygete	0.000011	 	2.5	[25]	2.6	21.9R	[26]	0.04	[25]
Chaldene	0.000005	 	1.9	[25]	2.6	22.5R	[25]	0.04	[25]
Harpalyke	0.000008	 	2.2	[25]	2.6	22.2R	[26]	0.04	[25]
Kalyke	0.000013	 	2.6	[25]	2.6	21.8R	[26]	0.04	[25]
Iocaste	0.000013	 	2.6	[25]	2.6	21.8R	[26]	0.04	[25]
Erinome	0.000003	 	1.6	[25]	2.6	22.8R	[25]	0.04	[25]
Isonoe	0.000005	 	1.9	[25]	2.6	22.5R	[25]	0.04	[25]
Praxidike	0.000029	 	3.4	[25]	2.6	21.2R	[26]	0.04	[25]
Autonoe	0.000006	 	2.0	[25]	2.6	22.0R	[25]	0.04	[25]
Thyone	0.000006	 	2.0	[25]	2.6	22.3R	[25]	0.04	[25]
Hermippe	0.000006	 	2.0	[25]	2.6	22.1R	[25]	0.04	[25]
Aitne	0.000003	 	1.5	[25]	2.6	22.7R	[25]	0.04	[25]
Eurydome	0.000003	 	1.5	[25]	2.6	22.7R	[25]	0.04	[25]
Euanthe	0.000003	 	1.5	[25]	2.6	22.8R	[25]	0.04	[25]
Euporie	0.000001	 	1.0	[25]	2.6	23.1R	[25]	0.04	[25]
Orthosie	0.000001	 	1.0	[25]	2.6	23.1R	[25]	0.04	[25]
Sponde	0.000001	 	1.0	[25]	2.6	23.0R	[25]	0.04	[25]
Kale	0.000001	 	1.0	[25]	2.6	23.0R	[25]	0.04	[25]
Pasithee	0.000001	 	1.0	[25]	2.6	23.2R	[25]	0.04	[25]
Hegemone	0.000003	 	1.5	[25]	2.6	22.8R	[25]	0.04	[25]
Mneme	0.000001	 	1.0	[25]	2.6	23.3R	[25]	0.04	[25]
Aoede	0.000006	 	2.0	[25]	2.6	22.5R	[25]	0.04	[25]
Thelxinoe	0.000001	 	1.0	[25]	2.6	23.5R	[25]	0.04	[25]
Arche	0.000003	 	1.5	[25]	2.6	22.8R	[25]	0.04	[25]
Kallichore	0.000001	 	1.0	[25]	2.6	23.7R	[25]	0.04	[25]
Helike	0.000006	 	2.0	[25]	2.6	22.6R	[25]	0.04	[25]
Carpo	0.000003	 	1.5	[25]	2.6	23.0R	[25]	0.04	[25]
Eukelade	0.000006	 	2.0	[25]	2.6	22.6R	[25]	0.04	[25]
Cyllene	0.000001	 	1.0	[25]	2.6	23.2R	[25]	0.04	[25]
Kore	0.000001	 	1.0	[25]	2.6	23.6R	[25]	0.04	[25]
Herse	0.000001	 	1.0	[25]	2.6	23.4R	[25]	0.04	[25]
S/2000 J11	0.000001	 	1.0	[25]	2.6	22.4R	[25]	0.04	[25]
S/2003 J2	0.000001	 	1.0	[25]	2.6	23.2R	[25]	0.04	[25]
S/2003 J3	0.000001	 	1.0	[25]	2.6	23.4R	[25]	0.04	[25]
S/2003 J4	0.000001	 	1.0	[25]	2.6	23.0R	[25]	0.04	[25]
S/2003 J5	0.000006	 	2.0	[25]	2.6	22.4R	[25]	0.04	[25]
S/2003 J9	0.0000001	 	0.5	[25]	2.6	23.7R	[25]	0.04	[25]
S/2003 J10	0.000001	 	1.0	[25]	2.6	23.6R	[25]	0.04	[25]
